iter	Passed	Remaining
0	148	148291
1	150	75267
2	153	50929
3	155	38734
4	157	31352
5	160	26518
6	162	23060
7	164	20439
8	166	18304
9	167	16593
10	169	15197
11	170	14028
12	171	13047
13	173	12199
14	174	11476
15	176	10829
16	177	10256
17	178	9755
18	180	9300
19	181	8894
20	182	8522
21	184	8188
22	185	7881
23	186	7595
24	188	7334
25	189	7091
26	190	6865
27	191	6663
28	193	6467
29	194	6285
30	195	6117
31	196	5956
32	198	5810
33	199	5674
34	201	5541
35	202	5419
36	203	5306
37	205	5193
38	206	5086
39	207	4988
40	209	4891
41	210	4796
42	211	4706
43	212	4626
44	214	4551
45	215	4476
46	217	4405
47	218	4339
48	220	4271
49	221	4208
50	222	4148
51	224	4085
52	225	4031
53	227	3979
54	228	3927
55	230	3877
56	231	3832
57	233	3786
58	234	3739
59	236	3698
60	237	3654
61	238	3612
62	240	3571
63	241	3532
64	242	3492
65	244	3455
66	245	3421
67	246	3376
68	247	3339
69	248	3308
70	250	3276
71	251	3246
72	253	3215
73	254	3186
74	255	3155
75	257	3125
76	258	3099
77	260	3073
78	261	3044
79	262	3015
80	263	2987
81	264	2959
82	265	2932
83	266	2905
84	267	2876
85	268	2851
86	269	2823
87	270	2799
88	271	2775
89	272	2753
90	273	2733
91	274	2712
92	275	2691
93	277	2670
94	278	2649
95	279	2629
96	280	2608
97	281	2589
98	282	2570
99	283	2551
100	284	2533
101	285	2510
102	286	2493
103	287	2475
104	288	2459
105	289	2442
106	290	2425
107	291	2409
108	292	2393
109	293	2378
110	294	2362
111	296	2347
112	297	2332
113	298	2316
114	299	2302
115	300	2286
116	301	2272
117	302	2260
118	303	2245
119	304	2233
120	305	2220
121	306	2207
122	307	2190
123	308	2178
124	309	2165
125	310	2153
126	311	2141
127	312	2126
128	313	2115
129	314	2103
130	315	2092
131	317	2084
132	318	2077
133	320	2070
134	321	2061
135	323	2052
136	324	2041
137	325	2030
138	326	2020
139	327	2009
140	328	2000
141	329	1990
142	330	1980
143	331	1970
144	332	1961
145	333	1952
146	334	1942
147	335	1934
148	337	1925
149	338	1916
150	339	1907
151	340	1898
152	341	1890
153	342	1881
154	343	1872
155	344	1864
156	345	1856
157	346	1848
158	347	1839
159	348	1831
160	350	1824
161	351	1816
162	352	1808
163	353	1801
164	354	1793
165	355	1786
166	356	1778
167	357	1771
168	358	1764
169	359	1757
170	361	1750
171	362	1743
172	363	1736
173	364	1729
174	365	1722
175	366	1715
176	367	1708
177	368	1702
178	369	1695
179	370	1688
180	371	1679
181	372	1673
182	373	1666
183	374	1660
184	375	1655
185	376	1649
186	377	1642
187	378	1636
188	380	1630
189	381	1624
190	382	1619
191	383	1613
192	384	1608
193	385	1603
194	387	1597
195	388	1592
196	389	1588
197	390	1583
198	392	1579
199	393	1573
200	394	1568
201	395	1563
202	396	1558
203	397	1552
204	399	1547
205	400	1542
206	401	1537
207	402	1532
208	403	1528
209	404	1523
210	406	1519
211	407	1515
212	409	1511
213	410	1506
214	411	1503
215	413	1499
216	414	1495
217	415	1490
218	416	1486
219	417	1481
220	418	1476
221	420	1471
222	421	1467
223	422	1462
224	423	1458
225	424	1454
226	425	1450
227	426	1445
228	428	1441
229	429	1436
230	430	1431
231	431	1428
232	432	1424
233	433	1420
234	434	1415
235	436	1411
236	437	1407
237	438	1402
238	439	1398
239	440	1394
240	441	1390
241	442	1386
242	443	1382
243	444	1378
244	446	1374
245	447	1371
246	449	1369
247	450	1365
248	451	1361
249	452	1357
250	453	1353
251	454	1349
252	455	1346
253	457	1342
254	458	1338
255	459	1335
256	460	1331
257	461	1327
258	462	1324
259	463	1320
260	464	1316
261	465	1312
262	467	1308
263	468	1305
264	469	1301
265	470	1297
266	471	1294
267	472	1290
268	473	1286
269	474	1283
270	475	1279
271	476	1276
272	477	1272
273	479	1269
274	480	1265
275	481	1262
276	482	1258
277	483	1255
278	484	1251
279	485	1248
280	486	1244
281	487	1241
282	488	1238
283	489	1234
284	490	1231
285	491	1227
286	492	1224
287	493	1220
288	494	1217
289	495	1214
290	497	1211
291	498	1207
292	499	1204
293	500	1201
294	501	1197
295	502	1194
296	503	1191
297	504	1188
298	505	1185
299	506	1182
300	507	1179
301	508	1176
302	509	1172
303	510	1169
304	512	1166
305	513	1163
306	514	1160
307	515	1157
308	516	1154
309	517	1151
310	518	1148
311	519	1145
312	520	1142
313	521	1139
314	522	1136
315	523	1133
316	524	1130
317	525	1126
318	526	1123
319	527	1120
320	528	1117
321	529	1114
322	530	1111
323	531	1109
324	532	1106
325	533	1103
326	534	1100
327	535	1097
328	536	1095
329	537	1092
330	539	1089
331	540	1086
332	541	1083
333	542	1080
334	543	1078
335	544	1075
336	545	1072
337	546	1070
338	547	1067
339	548	1065
340	549	1062
