iter	Passed	Remaining
0	1	1165
1	1	988
2	2	914
3	3	885
4	4	867
5	5	850
6	5	833
7	6	829
8	7	834
9	9	926
10	10	940
11	11	925
12	12	915
13	12	901
14	13	888
15	14	878
16	15	871
17	15	864
18	16	856
19	17	849
20	18	843
21	18	841
22	19	835
23	20	828
24	21	824
25	21	820
26	23	849
27	24	863
28	25	868
29	26	867
30	27	869
31	28	869
32	29	866
33	30	861
34	31	857
35	31	853
36	32	848
37	33	846
38	34	851
39	35	851
40	36	854
41	37	856
42	38	856
43	39	857
44	40	857
45	41	855
46	42	855
47	43	865
48	44	868
49	45	872
50	46	871
51	47	874
52	48	872
53	49	869
54	50	866
55	51	865
56	52	865
57	53	865
58	54	863
59	54	860
60	55	859
61	56	861
62	57	859
63	58	857
64	59	855
65	60	852
66	61	849
67	61	846
68	62	842
69	70	936
70	74	968
71	78	1010
72	82	1044
73	84	1055
74	86	1068
75	88	1070
76	89	1069
77	90	1066
78	91	1063
79	96	1104
80	97	1106
81	99	1117
82	100	1113
83	101	1108
84	102	1102
85	103	1096
86	103	1089
87	104	1083
88	105	1077
89	105	1071
90	106	1065
91	107	1059
92	108	1053
93	108	1047
94	109	1041
95	110	1035
96	110	1029
97	111	1024
98	111	1018
99	112	1014
100	113	1009
101	114	1004
102	114	1000
103	115	995
104	116	990
105	116	985
106	117	981
107	118	976
108	118	972
109	119	967
110	120	963
111	121	959
112	121	955
113	122	951
114	123	948
115	123	944
116	124	939
117	125	935
118	125	931
119	126	926
120	127	923
121	127	918
122	128	915
123	129	911
124	129	908
125	130	905
126	131	900
127	131	897
128	132	894
129	133	891
130	133	888
131	134	885
132	135	884
133	136	882
134	137	880
135	138	878
136	139	875
137	139	873
138	140	870
139	141	868
140	142	866
141	142	862
142	143	860
143	144	859
144	145	858
145	146	857
146	147	855
147	148	853
148	149	851
149	149	848
150	150	846
151	151	844
152	152	842
153	152	840
154	153	838
155	154	836
156	155	835
157	156	832
158	157	830
159	158	830
160	158	826
161	159	825
162	160	824
163	161	822
164	162	821
165	163	819
166	163	817
167	164	815
168	165	814
169	166	812
170	167	810
171	167	808
172	168	806
173	169	804
174	170	803
175	171	801
176	172	800
177	173	799
178	173	797
179	174	796
180	175	795
181	176	794
182	177	793
183	178	792
184	179	790
185	180	789
186	181	787
187	181	786
188	182	784
189	183	782
190	184	781
191	185	779
192	186	778
193	186	776
194	187	775
195	188	774
196	189	772
197	190	772
198	191	770
199	192	770
200	193	768
201	194	767
202	195	766
203	196	765
204	197	764
205	197	762
206	198	761
207	199	759
208	200	757
209	201	756
210	202	755
211	202	754
212	203	753
213	204	751
214	205	750
215	206	748
216	207	747
217	207	745
218	208	744
219	209	744
220	210	743
221	211	742
222	212	741
223	213	739
224	214	738
225	215	737
226	216	736
227	217	735
228	218	734
229	219	733
230	220	733
231	221	732
232	222	731
233	223	730
234	224	729
235	225	728
236	226	727
237	227	726
238	227	725
239	229	725
240	230	724
241	231	724
242	232	723
243	233	723
244	234	722
245	235	721
246	236	721
247	237	719
248	238	718
249	239	717
250	240	716
251	241	715
252	241	714
253	242	713
254	243	712
255	244	710
256	245	709
257	246	709
258	247	709
259	249	708
260	249	707
261	250	706
262	251	705
263	252	704
264	253	702
265	254	701
266	255	700
267	256	700
268	257	699
269	258	698
270	259	697
271	259	695
272	261	695
273	262	694
274	263	693
275	264	692
276	265	691
277	266	690
278	267	690
279	268	689
280	269	688
281	270	687
282	270	686
283	271	685
284	272	684
285	273	683
286	274	682
287	276	682
288	277	682
289	278	681
290	279	680
291	280	679
292	281	678
293	282	677
294	282	675
295	283	674
296	284	672
297	284	671
298	285	669
299	286	668
300	287	666
301	287	665
302	288	664
303	293	672
304	301	687
305	306	695
306	312	705
307	314	706
308	316	706
309	317	707
310	321	711
311	322	711
312	324	711
313	325	710
314	326	709
315	326	707
316	327	705
317	328	704
318	329	702
319	329	700
320	330	698
321	331	697
322	331	695
323	332	693
324	333	691
325	333	690
326	334	688
327	335	686
328	335	685
329	336	683
330	337	681
331	338	680
332	338	678
333	339	677
334	340	675
335	340	673
336	341	671
337	342	670
338	342	668
339	343	666
340	344	665
341	344	663
342	345	661
343	346	660
344	346	658
345	347	657
346	348	655
347	349	654
348	349	652
349	350	651
350	351	649
351	352	648
352	352	646
353	353	645
354	354	643
355	355	642
356	355	640
357	356	639
358	357	637
359	357	636
360	358	634
361	359	632
362	359	631
363	360	629
364	361	628
365	361	626
366	362	625
367	363	624
368	364	622
369	364	621
370	365	619
371	366	618
372	366	616
373	367	615
374	368	613
375	368	612
376	369	610
377	370	609
378	370	607
379	371	605
380	372	604
381	372	603
382	373	601
383	374	600
384	374	598
385	375	597
386	376	596
387	376	594
388	377	593
389	378	591
390	378	590
391	379	588
392	380	587
393	380	585
394	381	584
395	382	583
396	383	582
397	383	580
398	384	579
399	385	577
400	385	576
401	386	575
402	387	573
403	388	572
404	388	571
405	389	569
406	390	568
407	390	566
408	391	565
409	392	564
410	392	562
411	393	561
412	394	560
413	394	558
414	395	557
415	396	556
416	396	554
417	397	553
418	398	552
419	399	551
420	399	549
421	400	548
422	401	547
423	401	545
424	402	544
425	403	543
426	403	541
427	404	540
428	405	539
429	405	538
430	406	536
431	407	535
432	407	534
433	408	532
434	409	531
435	409	530
436	410	528
437	411	527
438	412	526
439	412	525
440	413	524
441	414	522
442	414	521
443	415	520
444	416	519
445	416	517
446	417	517
447	418	515
448	419	514
449	420	513
450	420	512
451	421	510
452	422	509
453	422	508
454	423	507
455	424	505
456	424	504
457	425	503
458	426	502
459	426	501
460	427	499
461	428	498
462	428	497
463	429	496
464	430	495
465	431	493
466	431	492
467	432	491
468	433	490
469	434	489
470	434	488
471	435	487
472	436	486
473	437	485
474	437	484
475	438	482
476	439	481
477	440	480
478	440	479
479	441	478
480	442	477
481	443	476
482	444	475
483	444	474
484	445	473
485	446	472
486	447	470
487	447	469
488	448	468
489	449	467
490	450	466
491	450	465
492	451	464
493	452	463
494	453	462
495	453	461
496	454	460
497	455	458
498	455	457
499	456	456
500	457	455
501	458	454
502	459	453
503	459	452
504	460	451
505	461	450
506	462	449
507	462	448
508	463	447
509	464	446
510	465	445
511	465	444
512	466	442
513	467	441
514	468	440
515	468	439
516	469	438
517	470	437
518	471	436
519	471	435
520	472	434
521	473	433
522	474	432
523	475	431
524	475	430
525	476	429
526	477	428
527	478	427
528	479	426
529	479	425
530	480	424
531	481	423
532	482	422
533	483	421
534	483	420
535	484	419
536	485	418
537	486	417
538	487	416
539	488	415
540	489	414
541	489	414
542	490	413
543	491	411
544	492	410
545	493	409
546	493	408
547	494	408
548	495	407
549	496	406
550	497	405
551	497	404
552	498	403
553	499	402
554	500	401
555	501	400
556	502	399
557	503	398
558	504	397
559	504	396
560	505	395
561	506	394
562	507	393
563	508	392
564	509	391
565	509	390
566	510	389
567	511	388
568	512	387
569	512	386
570	513	385
571	514	385
572	515	384
573	516	383
574	521	385
575	522	384
576	524	384
577	527	385
578	529	385
579	535	387
580	538	388
581	539	387
582	541	387
583	543	387
584	545	386
585	547	386
586	549	386
587	550	385
588	552	385
589	554	385
590	554	384
591	555	383
592	556	381
593	557	380
594	557	379
595	558	378
596	559	377
597	560	376
598	561	375
599	561	374
600	562	373
601	563	372
602	564	371
603	565	370
604	565	369
605	566	368
606	567	367
607	568	366
608	569	365
609	570	364
610	570	363
611	571	362
612	572	361
613	573	360
614	574	359
615	575	358
616	576	357
617	576	356
618	577	355
619	578	354
620	579	353
621	579	352
622	580	351
623	581	350
624	582	349
625	582	348
626	583	347
627	584	346
628	584	344
629	585	343
630	586	342
631	587	341
632	587	340
633	588	339
634	589	338
635	589	337
636	590	336
637	591	335
638	591	334
639	592	333
640	593	332
641	594	331
642	594	330
643	595	329
644	596	328
645	596	327
646	597	326
647	598	325
648	599	324
649	599	323
650	600	322
651	601	321
652	602	320
653	602	318
654	603	317
655	604	316
656	605	315
657	605	314
658	606	313
659	607	312
660	608	311
661	608	310
662	609	309
663	610	308
664	610	307
665	611	306
666	612	305
667	612	304
668	613	303
669	614	302
670	615	301
671	616	300
672	616	299
673	617	298
674	618	297
675	619	296
676	619	295
677	620	294
678	621	293
679	621	292
680	622	291
681	623	290
682	624	289
683	624	288
684	625	287
685	626	286
686	626	285
687	627	284
688	628	283
689	629	282
690	629	281
691	630	280
692	631	279
693	632	278
694	632	277
695	633	276
696	634	275
697	635	274
698	635	273
699	636	272
700	637	271
701	638	270
702	638	269
703	639	268
704	640	267
705	640	266
706	641	265
707	642	264
708	643	263
709	643	262
710	644	262
711	645	261
712	646	260
713	646	259
714	647	258
715	648	257
716	649	256
717	649	255
718	650	254
719	651	253
720	651	252
721	652	251
722	653	250
723	654	249
724	654	248
725	655	247
726	656	246
727	656	245
728	657	244
729	658	243
730	659	242
731	660	241
732	660	240
733	661	239
734	662	238
735	663	237
736	663	236
737	664	235
738	665	234
739	665	233
740	666	233
741	667	232
742	668	231
743	668	230
744	669	229
745	670	228
746	670	227
747	671	226
748	672	225
749	673	224
750	674	223
751	675	222
752	675	221
